university,us_news_rank_23,course_catalog_accesible,did_it_include_any_class,general_school_notes,course_1_name,course_1_url,course_1_level,course_1_dept,course_1_topic_list,course_1_software,notes,course_2_name,course_2_url,course_2_level,course_2_dept,course_2_topic_list,course_2_software,notes_19,course_3_name,course_3_url,course_3_level,course_3_dept,course_3_topic_list,course_3_software,notes_26,course_4_name,course_4_url,course_4_level,course_4_dept,course_4_topic_list,course_4_software,notes_33,course_5_name,course_5_url,course_5_level,course_5_dept,course_5_topic_list,course_5_software,notes_40,course_6_name,course_6_url,course_6_level,course_6_dept,course_6_topic_list,course_6_software,notes_47,course_7_name,course_7_url,course_7_level,course_7_dept,course_7_topic_list,course_7_software,notes_54,course_8_name,course_8_url,course_8_level,course_8_dept,course_8_topic_list,course_8_software,notes_61,course_9_name,course_9_url,course_9_level,course_9_dept,course_9_topic_list,course_9_software,notes_68,course_10_name,course_10_url,course_10_level,course_10_dept,course_10_topic_list,course_10_software,notes_75,course_11_name,course_11_url,course_11_level,course_11_dept,course_11_topic_list,course_11_software,notes_82,course_12_name,course_12_url,course_12_level,course_12_dept,course_12_topic_list,course_12_software,notes_89,course_13_name,course_13_url,course_13_level,course_13_dept,course_13_topic_list,course_13_software,notes_96,course_14_name,course_14_url,course_14_level,course_14_dept,course_14_topic_list,course_14_software,notes_103,course_15_name,course_15_url,course_15_level,course_15_dept,course_15_topic_list,course_15_software,notes_110,type,notes_12
Northwestern University,10,TRUE,TRUE,NA,Data Visualization,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4780,Grad,Data Science,"Networks, Interactive Graphics",NA,NA,Visualization of Data and Text,NA,Grad,Information Design & Strategy,"Time Series, Text Data, Networks, Interactive Graphics",NA,NA,Data Visualization,NA,Both,Statistics and Data Science,None,NA,NA,Interactive Information Visualization,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/333.html,Undergrad,Computer Science,Interactive Graphics,D3.js,NA,Data Visualization and Storytelling,NA,Both,Health Analytics,None,R (ggplot),NA,Introduction to Data Visualization and Data Storytelling,https://www.mccormick.northwestern.edu/analytics/curriculum/descriptions/msia-411.html,Grad,Analytics,None,None,NA,Data Analysis and Visualization,https://class-descriptions.northwestern.edu/4850/JOUR/JOUR/29079,Undergrad,Journalism,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Dartmouth College,12,TRUE,TRUE,NA,Data Visualization,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Quantitative-Social-Science/QSS-Quantitative-Social-Sciences/QSS-17,Undergrad,"Quantitative Social Science, Government",None,R,NA,Geovisualization,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Geography/GEOG-Geography/GEOG-54,Undergrad,Geography,"Spatial Data, Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Brown University,13,TRUE,TRUE,NA,Data Fluency for All,https://cs.brown.edu/courses/csci0100/,Undegrad,Computer Science,"Statistical Modeling (Regression), Clustering, Text Analysis, Networks",R (ggplot),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Vanderbilt University,13,TRUE,TRUE,NA,Data Visualization,https://www.vanderbilt.edu/catalogs/kuali/undergraduate-22-23.php#/courses/SJHKvARSq?q=data%20visualization&itemTypes=courses&limit=20&skip=0&bc=true&bcCurrent=&bcCurrent=Data%20Visualization&bcItemType=courses,Both,Computer Science,"Spatial Data, High Dimensional, Networks",None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Washington University in St. Louis,15,TRUE,TRUE,NA,Data Visualization for Business Insights,https://courses.wustl.edu/CourseInfo.aspx?sch=B&dept=B69&crs=560E,Both,Data Analytics,"Time Series, Interactive Graphics",Tableau,NA,Advanced Data Visualization (with R),https://courses.wustl.edu/CourseInfo.aspx?sch=U&dept=U20&crs=224,Undergrad,"Mathematics and Statistics, Computers and Information Management",Time Series,R (ggplot),NA,Introduction to Visualization,https://courses.wustl.edu/CourseInfo.aspx?sch=E&dept=E81&crs=457A,Undergrad,Computer Science and Engineering,Interactive Graphics,None,NA,Data Analysis and Visualization in Tableau,https://courses.wustl.edu/CourseInfo.aspx?sch=U&dept=U44&crs=206,Undergrad,"Business, Computers and Information Management",Interactive Graphics,Tableau,NA,Data Visualization,https://courses.wustl.edu/CourseInfo.aspx?sch=X&dept=X10&crs=304,Both,Design & Visual Arts,None,Adobe Illustrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Rice University,15,TRUE,TRUE,NA,Introduction to Effective Data Visualization,NA,Undergrad,Data Sciece,None,Python or R,NA,Data Visualization,NA,Graduate,Computer Science,NA,Python,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Cornell University,17,TRUE,TRUE,NA,Data Communication,https://classes.cornell.edu/browse/roster/SP23/class/INFO/3312,Both,Information Science,None,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Columbia University,18,TRUE,TRUE,"Only could find and search S23 catalog (undergrad & grad), F22 didn't work",Topics in Computer Science: Intro to Data Visualization,https://columbiaviz.github.io/2023s_w4995/syllabus.html,Both,Computer Science,"Hypothesis Testing, Spatial Data, Text Data, Interactive Graphics","D3.js, Observable",NA,Topics in Modern Statistics: Statistical Graphics,https://github.com/HaoWu2019/StatGraph5293/blob/master/Syllabus.md,Grad,Statistics,"Spatial Data, Time Series, Interactive Graphics","R, JavaScript",NA,Data Visualization and Storytelling,http://www.columbia.edu/cu/bulletin/uwb/#/cu/bulletin/uwb/subj/SOSC/P6777-20231-001,Grad,Sociomedical Sciences,None,Tableau,NA,Data Visualization,http://www.columbia.edu/cu/bulletin/uwb/#/cu/bulletin/uwb/subj/QMSS/GR5063-20231-001,Grad,Quantitative Methods/Social Sciences,"Spatial Data, Networks, Interactive Graphics","R, JavaScript, D3.js, HTML, CSS, GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Notre Dame,18,TRUE,TRUE,NA,Data Visualization,NA,Undergraduate,Computer Science and Engineering,Interactive Graphics,"D3.js, ParaView",NA,Conveying Visual Data Insights,NA,Both,"IT, Analytics and Operations",NA,Tableau,NA,Visual Communication Design 10: Visualization of Data,NA,Both,Design,"Spatial Data, Interactive Graphics",None,NA,Data Visualization,NA,Grad,Data Science,Interactive Graphics,Tableau,NA,Special Topics in Biochemistry,NA,Grad,Chemistry and Biochemistry,None,None,NA,Data Exploration and Visualization,https://mendozambaportal.nd.edu/assets/279793/itao_70220_data_exploration_and_visualization.pdf,Undergrad,"IT, Analytics, and Operations","Spatial Data, Time Series, Networks, Interactive Graphics",Tableau,NA,Data Visualization,NA,Grad,Business Analytics,None,Tableau,NA,Visualizing Politics,NA,Both,Political Science,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Los Angeles,20,TRUE,TRUE,NA,Applied Data Management for Economists,NA,Grad,Economics,Interactive Graphics,"Tableau, Microsoft Excel, Python (matplotlib, plotly)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Berkeley,20,TRUE,TRUE,NA,Special Topics in Public Affairs: Data Visualization,https://classes.berkeley.edu/content/2022-fall-pubaff-290-003-lec-003,Grad,Public Affairs,None,"Microsoft Excel, Tableau",NA,Data Visualization,https://classes.berkeley.edu/content/2023-spring-datasci-209-001-lec-001,Both,Data Science,None,NA,NA,Data Visualization for Public Health,https://classes.berkeley.edu/content/2022-fall-pbhlth-w251b-001-lec-001,Grad,Public Health,None,"R (ggplot), REDCap, Tableau",NA,Introduction to Data Visualization,https://classes.berkeley.edu/content/2022-fall-journ-221-001-sem-001,Grad,Journalism,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Emory University,22,TRUE,TRUE,NA,Data Visualization,NA,Both,Information Systems and Operation Management,Time Series,Tableau,NA,Financial Analysis and Visualization,NA,Grad,Information Systems and Operations Management,"Interactive Graphics, Time Series, Spatial Data","R, Power BI",NA,Topics in Computer Science: Information Visualization,NA,Undergrad,Computer Science,Interactive Graphics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Georgetown University,22,TRUE,TRUE,NA,Advanced Data Visualization,NA,Grad,Data Science and Analytics,Statistical Modeling,"Tableau, R (ggplot)",NA,"Numbers, Pictures, and Politics",NA,Both,Government,None,"Microsoft Excel, R, Google Charts, Adobe Illustrator",NA,Environmental Visualization and Storytelling with Data,NA,Grad,Enviromental and Sustainability Management,Spatial Data,NA,NA,Data Visualization for Politics,NA,Both,Government,Interactive Graphics,NA,NA,Introduction to Data Visualization,NA,Undergrad,International Affairs,None,None,NA,Data Visualization: Art/Science,NA,Grad,Foreign Service,Interactive Graphics,"Google Data Studio, PowerBI, Infogram, Flourish, Kumu","Short course, offered over 2 weekends",Data Visualization and Graphics,NA,Undergrad,Mathematics,None,R,NA,Data Visualization,NA,Grad,Journalism,Interactive Graphics,None,NA,Data Visualization for Data Science,NA,Grad,Data Science (Public Policy),Interactive Graphics,"R, Python, Tableau",NA,Data Visualization,NA,Grad,Public Policy,Interactive Graphics,"R, Tableau",NA,Visualizing Evidence,NA,Grad,"Learning, Design, and Technology","Interactive Graphics, Statistical Modeling",R,Mentions having readings from Tukey's Exploratory Data Analysis and Tufte's The Visual Display of Quantitative Information,Data Visualization,NA,Undergrad,University Wide Cross-Disciplinary Courses,None,"R, Tableau, Adobe Illustrator",NA,Population Health and Data Visualization,NA,Grad,Health,None,"Tableau, PowerBI",NA,Data Visualization,NA,Undergrad,Operations and Information Management,None,Tableau,NA,Visualization and Storytelling with Data,NA,Grad,Operations and Information Management,None,None,NA,university,NA
Carnegie Mellon University,22,TRUE,TRUE,NA,Statistical Graphics and Visualization,https://cmu-36315.netlify.app,Undergrad,Statistics and Data Science,"Hypothesis Testing/Confidence Intervals, Statistical Modeling, Spatial Data, Clustering, Time Series, High Dimensional, Text Data, Networks, Interactive Graphics",R,NA,Information Visualization for Scientists,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/courses/38612-information-visualization-for-scientists.html,Grad,Data Analytics for Science,"Interactive Graphics, Spatial Data","R (ggplot), Python (matplotlib, VisIt), D3.js, Tableau",NA,Telling Stories with Data,https://api.heinz.cmu.edu/courses_api/course_detail/94-870/,Both,Information Systems + Public Policy +Management,Interactive Graphics,None,NA,R Shiny for Operations Management,https://www.heinz.cmu.edu/current-students/courses/94-880/142197/,Grad,Information Systems + Public Policy + Management,Interactive Graphics,"R (Shiny), CSS",NA,Data Visualization and Dashboards,NA,Grad,Public Policy and Management,Interactive Graphics,Tableau,NA,Data Visualization,https://dig.cmu.edu/courses/2022-fall-datavis.html,Both,Human Computer Interaction,Interactive Graphics,"Vega-Lite, D3.js, SQL",NA,Data Visualization,NA,Grad,Statistics,"High Dimensional, Spatial Data, Text Data, Interactive Graphics","R (ggplot, tidyverse)",NA,Design Center: Data Visualization,https://docs.google.com/document/d/1p3-EODyl2BynRsbTqLQDyZgNNJ7zEwXH01Mcdly707c/edit,Both,Design,Interactive Graphics,"JavaScript, P5.js, Basil.js, Snap.svg, GSAP, D3.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Michigan-Ann Arbor,25,FALSE,FALSE,Course Catalog does not include course descriptions for F22 and is by deparment for W23 & S23 (they work on a trimester system),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
